client_id	path	sentence	up_votes	down_votes	age	gender	accent
25bc975d06200b7b1c9135db090561cb0d9b28d172e51c6826f9e665a3ba7bddda6ec0c6c09102f5d1d4ec99cd094b9c91ad0141e49341246bc6eb2e7167f2e7	common_voice_zh-CN_19703883.mp3	模式种采样自台湾龟山岛。	1	0	thirties	female	310000
25bc975d06200b7b1c9135db090561cb0d9b28d172e51c6826f9e665a3ba7bddda6ec0c6c09102f5d1d4ec99cd094b9c91ad0141e49341246bc6eb2e7167f2e7	common_voice_zh-CN_19706151.mp3	后者娶天之瓮主神。	1	0	thirties	female	310000
e0509c56e3f2844a433a78177d7a8c77b64aad8d592c4135dbb94956a7a991af8d728d2836d9e92916d4e82b2a92faf2bfe86f16dd344a80022e31e6a8b26731	common_voice_zh-CN_19792544.mp3	武特雷。	1	0	twenties	male	
d13b5607fe6e9d844674b6da98598a98ada7324425926ee5b74b0c73040f1cf677a3af69ddd6004048ca30c6b929680535ea6677c43dec1526d350cb859ada15	common_voice_zh-CN_19809299.mp3	枢纽机场是航空公司用来中转旅客至下一个目的地的中停点。	1	0	teens	male	510000
a0f496c65e4a69d4ae12c16ab2f7e838ef813a3cfb329d23bcf63f145d8910451b1ac314647977eb4d37dfafffb20089312f7263f29300c5835a9e784e3ab8b6	common_voice_zh-CN_19840111.mp3	松潘报春为报春花科报春花属下的一个种。	0	0	twenties	female	230000
0dd05dfa9b2a9c03af87c2657dc8c0af979aaa28a23ffb6f7b919022f95805fef32e116c0f771bb32b96667189acc29ca1e141ff7ff3a10779b0a7982be17a8d	common_voice_zh-CN_19857481.mp3	江户从前一晚开始也有可感地震。	0	1	twenties	male	410000
9abd2bf6017cb315964ed8120cdb12a902ebbbcf070fda8bca908dd008d1ebf64c87440f34ac285cd537c6a447f4b9558c58a48217be72227e878e2dc22ff7f1	common_voice_zh-CN_19857828.mp3	它的一个显着特征是可以精确地说明局部手性。	1	0			
0dd05dfa9b2a9c03af87c2657dc8c0af979aaa28a23ffb6f7b919022f95805fef32e116c0f771bb32b96667189acc29ca1e141ff7ff3a10779b0a7982be17a8d	common_voice_zh-CN_19861124.mp3	圣经记载扫罗最后死在和非利士人的战争中。	1	0	twenties	male	410000
0dd05dfa9b2a9c03af87c2657dc8c0af979aaa28a23ffb6f7b919022f95805fef32e116c0f771bb32b96667189acc29ca1e141ff7ff3a10779b0a7982be17a8d	common_voice_zh-CN_19861128.mp3	随后他的新浪微博被封号。	1	0	twenties	male	410000
0dd05dfa9b2a9c03af87c2657dc8c0af979aaa28a23ffb6f7b919022f95805fef32e116c0f771bb32b96667189acc29ca1e141ff7ff3a10779b0a7982be17a8d	common_voice_zh-CN_19861131.mp3	蒂芬大学已获得认证。	1	0	twenties	male	410000
fa7d27093d565c57ced12902ea59b152a543b297441b6a37f501c06689a646dad043bc204dbbbae7bc8d4583c0d09695e195268df1eb7626213e7e083cb6a16f	common_voice_zh-CN_19863485.mp3	谭江柏为香港着名歌坛巨星谭咏麟的父亲。	0	1	twenties	male	440000
c79c7db7ab70179acb0449da4da23f91a90c866a6838fe86c1e3044a354d161c6e83ef0acf18ea7381eebaa766f124f83b17e7bd11ea00e17eb3c89ce3cda6cb	common_voice_zh-CN_19877582.mp3	圣沙马朗。	1	0	twenties	male	710000
c79c7db7ab70179acb0449da4da23f91a90c866a6838fe86c1e3044a354d161c6e83ef0acf18ea7381eebaa766f124f83b17e7bd11ea00e17eb3c89ce3cda6cb	common_voice_zh-CN_19877638.mp3	新堂洞的名称来源于李氏朝鲜时期该地区内的一个名为新堂村的村庄。	1	0	twenties	male	710000
