client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
9a037f68b1f98efb6703b02cdfa383f0c7bdc841446149a06c84e54df57534fa37eb05aa227a487cfaa55a06de444e0b41d7b3c4e9318ac49ef576c6637c524c	common_voice_tr_17341270.mp3	e745cb5ccd77701e80b29cbf88f15eafe0fc28d39192d49838fac26cb000ab22	Ayrıca güzel manzaralı bir balkonu da var.		1	2					tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17341279.mp3	70eed90267812626154d64c20845b5254c3d342612e6e07c5288877a5b876002	İnşaat için 1 milyar dolarlık yatırım gerekiyor.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342165.mp3	45b7cbfe95c0b66caf80833ee3f1f66d9e2c1553b3f1db3cf4402f25c1738f8d	Kotooshu unvanı 13-1'lik skorla kazandı.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342168.mp3	4a1bdd4cc0d63f8873c8af75f33621fc3fdffa7c3c753414e29437f3367a38b3	Yarışmaya 27 ülkeden şarkıcılar katıldı.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342176.mp3	7976919b33cb290d2bde3de29b4f6d6ada36217dd48e323f05af85efe95689e4	Projeye ilişkin müzakereler 1998'de başlamıştı.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342179.mp3	142ec0ff14794b329c53d5ef454b2fbaae00b2521726f6c733ce92adb1e2a4b2	Etkinliğe 21 ülkenin temsilcileri katılıyor.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342193.mp3	619f89290f405c07d6f141a5b3d998ef1f00b6e263cb5eaf3041cc2e1ea93fa6	Periklis Iakovakis 400m engellide iddialı.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342197.mp3	8597cfd78ff3d761f79c26bc6cd0de94ea86cabde9c48e918cae0a7bd3a81e89	Hastalık 430 bin hastada ileri seviyede.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342206.mp3	7ad4fe80091b5bc1ccc3b4af3940643a3cf57fff7969e1c56f591743db0376a1	Mevcut işsizlik oranı ,4.		0	2	thirties	male_masculine			tr	
efb387aad3cab3fef2634adea89bbb356a43e5739f1d7ce85cab6ad2fac107afacadae58116f50648b8ec5d01aec2bd4cb3fc9680179273bd52cf4aae8f9c8f5	common_voice_tr_17342208.mp3	e968e35616316a269137d30c9a748167b864861cce249e0a2b71285a90a67998	Karadziç 1996 yılında kanundan kaçmaya başladı.		0	2	thirties	male_masculine			tr	
c47a89c04643a5307c764b113ce8aab155b32a4bc2bebd389ee49735314be6e423b4057b7e586903058511745497d95c5dff9a5c836d649801cbf20fc48a6fb7	common_voice_tr_17343056.mp3	876244540f68e70eb5d3c7e21380c5ee94952f108873faf0e89dc6f79491c055	Geçen yıl ülkeye yaklaşık 15 milyon turist geldi.		0	2	thirties	female_feminine			tr	
c47a89c04643a5307c764b113ce8aab155b32a4bc2bebd389ee49735314be6e423b4057b7e586903058511745497d95c5dff9a5c836d649801cbf20fc48a6fb7	common_voice_tr_17343069.mp3	963e16b7581a402b94fbba2354ea5e2f39d16579663b19a3d955591d13e2a077	İlkiyse 1959 yılında meydana gelmişti.		0	2	thirties	female_feminine			tr	
c47a89c04643a5307c764b113ce8aab155b32a4bc2bebd389ee49735314be6e423b4057b7e586903058511745497d95c5dff9a5c836d649801cbf20fc48a6fb7	common_voice_tr_17343071.mp3	09585fe44fc34c01c94fdaff5938938b38a94acf81d17ee7fedad76394d7828a	Şarkıcı sadece 26 yaşındaydı.		0	2	thirties	female_feminine			tr	
c47a89c04643a5307c764b113ce8aab155b32a4bc2bebd389ee49735314be6e423b4057b7e586903058511745497d95c5dff9a5c836d649801cbf20fc48a6fb7	common_voice_tr_17343073.mp3	12542b65939bd986865bfcd23b14775ced599dd90c834b7a1899dbbb177bdfa2	Bugün Sırbistan'da 30 kadar ulusal banka var.		0	2	thirties	female_feminine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343250.mp3	16bd6e3ee0492bf4e8d5a46ea3a80820f10ce472c7ce3b80654ee2f48684e7c7	Polis Kovaçki'ye ait 17 mülkte arama yaptı.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343264.mp3	31c26f923095caf24fc932179990192827ad8312baa02444d10c0feee2312589	Tavuk eti satışları yüzde 90 düştü.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343282.mp3	3a4ee083901f3cd5cb56a4987070b11ac41b09090228ff52714016ce14fb27a5	Astibo'da 4.000 kişi çalışıyordu.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343283.mp3	6dbe1fef36b9a5416304c6a6bce94002e914485a9be4b7baad80ba7a865a33f9	Bunlara ek olarak ülkenin ekonomik durumunda bir değişiklik olacağını düşünüyor musunuz?		1	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343284.mp3	718a513ebc0309caade75a3b057cf6f87975a7db2cc7f8ac25bc8b5e94462c5d	Şebeke bağlantılarının 'ye yakını kaçak.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343305.mp3	70f4b022872d26950e696750c19485ae69e29076c8eb314bf45a709a646e7b17	Kosmocell lisans için 81 milyon avro ödeyecek.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343310.mp3	769286e481bf0442eb52fd37479f83a552427cc7a1db4c80d5389cb9fa48c33e	Çocuk, 1999 yılında satıldığında üç yaşındaydı.		0	2	twenties	male_masculine			tr	
f7c811de6f5b89824d1bf898dd65b4417f90bbb993c0275f0ef5d76e73db9d5d731a165042760524e4f37164792005d4cb5a4f411ff89ef0f124471fa17c12a7	common_voice_tr_17343315.mp3	d52cef0437463e67072ff6108054f354f1b8b2054023e76649bf7d16dc0447c8	Bu Aralık 2010'da oldu.		0	2	twenties	male_masculine			tr	
b8fffa3c4745500cd2c5f40a82b65bf1fb2d4c4f8638209a33fe1886fbfffdbd2f93aa43e0bd2026c4643e08aada408165138f75787cee501c4d735aa555a61c	common_voice_tr_17343549.mp3	173d949ead418fe87d99fdea17f7c2bbdcd2b66b571d0d0bc3dc00a75f867545	Konukların f'sı yabancılardan oluşuyor.		0	2	thirties	male_masculine			tr	
b8fffa3c4745500cd2c5f40a82b65bf1fb2d4c4f8638209a33fe1886fbfffdbd2f93aa43e0bd2026c4643e08aada408165138f75787cee501c4d735aa555a61c	common_voice_tr_17343550.mp3	450757d1181910de84e57163cf20d68ff8e301db649ce7cc6268c6733ef4cfbf	Kamuoyunda da güçlü bir destek söz konusu.		1	2	thirties	male_masculine			tr	
0c8ba63665303a01117332d5c7de7438ee9e9f5d523530d1ef2cd4416721772bbca74041a6809776edd10d419a36f15d1ba5a382c8793aaaf3949a353a852417	common_voice_tr_17343922.mp3	dd9c47dd1a7bc1ec6c6adff57d135574652d0e5a0ff199cfc3b84eecca0fafbb	Seçimlerde toplam 12 aday yarıştı.		0	2	teens	male_masculine			tr	
