client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
a90d6871e929ab9ea0306f7cdb249ea4373c3b6e4f61242a382e7c635ef35afa6d8c683ba41fb4e107e205dfd18792df56f428e525c1457a4356a5c2e41ab732	common_voice_tr_18235091.mp3	951a9ac4bff398a0fa0da7bd0c47eb48dff80c1dc03cf62ca397c5e05e98cfbd	Proje yirmi milyar dolara mal olacak.		1	0	twenties	female_feminine			tr	
ee294297b901732ebbd0815fdfd4fa965a0de3040bfe373d15a5e1e8d003cadf93ed24b1e62b377089fd0a8ebc86ff79510994f4cd0ff1caf8059065c21a7a73	common_voice_tr_18349970.mp3	34453f374ee7d94e32059d9476487099abfeb56d1005428de38040a14e0e51ec	Neden on yıldan uzun bir süre bunun olmasına izin verildi?		1	1					tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377027.mp3	dd07cfd929036ba8f769cb54acb00b2237c44114a72ffe9b38d9eee9d3e0d18b	Makedonya ise dokuzuncu Grupta üçüncü sırada yer alıyor.		1	0	thirties	male_masculine			tr	
1d55a9bf8d1d3dd37c960ab669bce073147fb9aee220904faa8e50cb0df4919b5b60b074944ab76e236abcb30c8cb9d8733c59c164c740f17ebac181adc66ee2	common_voice_tr_18377184.mp3	4735be84a808b61094ec26a211c7ef7ffc117adb151eede4a25ee3bf44d6ffc1	Yeni meclis ilk oturumunu gerçekleştirdi.		1	0	teens	male_masculine			tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377256.mp3	b86741ba50ad507b8b7049501886f0aa72f032366f254b1a251737b6963adfee	Ailenin her ferdine birer dilim dağıtılıyor.		1	0	thirties	male_masculine			tr	
a5f0fdf04d2dc2ab74afa3f5399dcb8bcd0846a305c9f59124ef39a741f553148d480b69e545b0f09567ff7bf8c6d92bfafb8551e40ca2653a002ba1ae479755	common_voice_tr_18377285.mp3	eef823ce59338d48165ed91cb6cd9db22c0a2c9bb5b3495533e2815fba2b93f7	Temel haklara saygı gösteriliyor.		1	0	thirties	male_masculine			tr	
ab69353623c69f0ddbb9f4a2c51b6357d6c49371dae98e9ac33dbb8555c1b2037d19335403a9b843a649af8484e18363d014516095078ea031c18d3f71452f97	common_voice_tr_18378418.mp3	f84afc0e240f845fd8029d8277d6999c29e14c7255cea2d8b8fccb6789bbce56	Parti, Türkiye'deki seksen bir ilin elli sekizini ele geçirdi.		1	1	thirties	male_masculine			tr	
ab69353623c69f0ddbb9f4a2c51b6357d6c49371dae98e9ac33dbb8555c1b2037d19335403a9b843a649af8484e18363d014516095078ea031c18d3f71452f97	common_voice_tr_18378451.mp3	db98eae15d71bc06b70f329ab2b801e11af19d909a609a1f3ef902867f991c73	Bundan cumhurbaşkanı bile etkilendi.		1	0	thirties	male_masculine			tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379804.mp3	aa54bc341d30ed4a6af71fbc86bb2c83c2aa47bb505e7ff4a7eb6358c5a7c754	Herhangi bir şeyi kanıtlamak mümkün mü?		0	1	twenties	male_masculine			tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379830.mp3	67a28c27e76c0df24d21c03c4e933e9cfd50b2c039783034b2613490ad34da80	Futbol etnik bölünmeleri aşabilir mi?		0	1	twenties	male_masculine			tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379901.mp3	ac118f953e5e609419554b22fc072a173f88be10d17bae7f1d453471bf75e625	Savaş suçu davaları hâlâ inceleniyor.		0	1	twenties	male_masculine			tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379930.mp3	a6ecdea223acfda08642305a918dc4a5d59153d0ad1e5655c5c3850c98d0a1ff	Bu ürün, tanıtımlarında iddia edilen etkileri yaratıyor mu, yoksa bir aldatmacadan mı ibaret?		0	1	twenties	male_masculine			tr	
f9b418d51ae461d396927140929e187d820f52a1f5ed1e5bf0765fd47f5c39a88ae35f26b10b60d2897a2e923b752f5574d2a93b665a1b58c0075de2f29fb64a	common_voice_tr_18379946.mp3	049f13c1b6f82ab8547c2d2f7574a9fcd0a0c890967261a27ab5d1db6b69e342	Sizce bu sorun yakın bir gelecekte çözüme kavuşabilir mi?		1	0	twenties	male_masculine			tr	
